local_designation|ps1_designation|sherlock_distancempc|dec_psf|psf_inst_mag_sig|cal_psf_mag|sherlockClassification|detection_list_id|sherlock_object_id|filter|sherlock_tables|followup_flag_date|sherlock_specz|tns_name|ra_psf|id|target|ref|diff|mjd_obs
10AYSEauc|||27.973566567011883|0.0926324|20.8485|ORPHAN|POSSIBLE||i||2020-01-26|||137.75082994738463|1091100201275824700|1091100201275824700_58874.514_101990437_451_target|1091100201275824700_58874.514_101990437_451_ref|1091100201275824700_58874.514_101990437_451_diff|58874.514182867
10AYSEaua|||27.974035274223013|0.068704|20.1624|ORPHAN|POSSIBLE||i||2020-01-26|||140.85947727345865|1092326271275826400|1092326271275826400_58874.515_101990540_171_target|1092326271275826400_58874.515_101990540_171_ref|1092326271275826400_58874.515_101990540_171_diff|58874.51508875
10AYSEaun|||27.775255137576263|0.112481|20.4877|ORPHAN|POSSIBLE||i||2020-01-26|||140.61079844164655|1092226591274630700|1092226591274630700_58874.515_101990540_261_target|1092226591274630700_58874.515_101990540_261_ref|1092226591274630700_58874.515_101990540_261_diff|58874.51508875
10AYSEaud||3063.780492|28.536161275938305|0.104586|20.9167|SN|POSSIBLE|1237664091828913142|i|SDSS DR12 PhotoObjAll Table|2020-01-26|||138.37100909795282|1091329041283210100|1091329041283210100_58874.514_101990443_392_target|1091329041283210100_58874.514_101990443_392_ref|1091329041283210100_58874.514_101990443_392_diff|58874.514182867
10AYSEasq|||-4.35262140725862|0.263167|20.6582|ORPHAN|POSSIBLE||r||2020-01-26|||193.7659416483159|1125503830042109400|1125503830042109400_58874.590_101998776_226_target|1125503830042109400_58874.590_101998776_226_ref|1125503830042109400_58874.590_101998776_226_diff|58874.5903654403
10AYSEast|||-4.402735758983447|0.168113|20.4592|ORPHAN|POSSIBLE||r||2020-01-26|||196.5743480248388|1130617850042409700|1130617850042409700_58874.591_101998883_189_target|1130617850042409700_58874.591_101998883_189_ref|1130617850042409700_58874.591_101998883_189_diff|58874.5912272014
10AYSEatv|||-3.924202529875018|0.0504075|19.0372|ORPHAN|POSSIBLE||r||2020-01-26|||191.82277041768583|1124717470035527100|1124717470035527100_58874.589_101998680_113_target|1124717470035527100_58874.589_101998680_113_ref|1124717470035527100_58874.589_101998680_113_diff|58874.5894869574
10AYSEatm|||-0.8942155165436372|0.152008|20.5482|ORPHAN|POSSIBLE||r||2020-01-26|||192.38925764851095|1124933420005339100|1124933420005339100_58874.590_101998819_51_target|1124933420005339100_58874.590_101998819_51_ref|1124933420005339100_58874.590_101998819_51_diff|58874.5907944538
10AYSEats|||-1.2879068891479442|0.125292|20.4682|ORPHAN|POSSIBLE||r||2020-01-26|||190.3848703670293|1124132360011716200|1124132360011716200_58874.589_101998726_198_target|1124132360011716200_58874.589_101998726_198_ref|1124132360011716200_58874.589_101998726_198_diff|58874.5899179807
10AYSEati|||2.8316491180327166|0.0577111|19.7345|ORPHAN|POSSIBLE||i||2020-01-26|||196.78535129603222|1130708481024954000|1130708481024954000_58874.597_101999519_169_target|1130708481024954000_58874.597_101999519_169_ref|1130708481024954000_58874.597_101999519_169_diff|58874.5974553384
10AYSEatu||3396.48083|2.802392164220884|0.0983165|20.4049|SN|POSSIBLE|1237651736837882841|i|SDSS DR12 PhotoObjAll Table|2020-01-26|||196.39886093249197|1130535711024808700|1130535711024808700_58874.597_101999520_206_target|1130535711024808700_58874.597_101999520_206_ref|1130535711024808700_58874.597_101999520_206_diff|58874.5974553384
10AYSEatd||2130.742213|2.786634825654694|0.099923|20.408|SN|POSSIBLE|1237651736838013020|i|SDSS DR12 PhotoObjAll Table|2020-01-26|||196.66241491793448|1130638971024711900|1130638971024711900_58874.597_101999519_221_target|1130638971024711900_58874.597_101999519_221_ref|1130638971024711900_58874.597_101999519_221_diff|58874.5974553384
10AYSEath|||1.9546833093662237|0.153509|20.461|ORPHAN|POSSIBLE||i||2020-01-26|||191.9242559778212|1124741811015716900|1124741811015716900_58874.595_101999310_240_target|1124741811015716900_58874.595_101999310_240_ref|1124741811015716900_58874.595_101999310_240_diff|58874.5956992506
10AYSEasy|||-1.0579700005233832|0.152797|20.6586|ORPHAN|POSSIBLE||r||2020-01-26|||195.6597898247276|1130238350010328700|1130238350010328700_58874.591_101998934_200_target|1130238350010328700_58874.591_101998934_200_ref|1130238350010328700_58874.591_101998934_200_diff|58874.5916581046
10AYSEatq|||5.904798455115335|0.0986541|20.1728|ORPHAN|POSSIBLE||i||2020-01-26|||193.57395329084517|1125417741055417400|1125417741055417400_58874.597_101999410_192_target|1125417741055417400_58874.597_101999410_192_ref|1125417741055417400_58874.597_101999410_192_diff|58874.5970181759
10AYSEasz|||16.425049547053604|0.192131|20.3295|ORPHAN|POSSIBLE||r||2020-01-26|||195.15745127501862|1130037791162530100|1130037791162530100_58874.602_102000008_75_target|1130037791162530100_58874.602_102000008_75_ref|1130037791162530100_58874.602_102000008_75_diff|58874.602498141
10AYSEatn||2366.23|19.523154572117726|0.135978|20.1153|SN|POSSIBLE|WHLJ130033.6+193057/SDSSJ130033.57+193057.0|r|NED/GLADE|2020-01-26|0.43||195.13761078773015|1130033031193123200|1130033031193123200_58874.602_101999946_50_target|1130033031193123200_58874.602_101999946_50_ref|1130033031193123200_58874.602_101999946_50_diff|58874.6029927811
10AYSEavf|||31.605940779470572|0.0187716|17.9123|ORPHAN|POSSIBLE||r||2020-01-26|||147.63566946711464|1095032561313621300|1095032561313621300_58874.583_101998242_21_target|1095032561313621300_58874.583_101998242_21_ref|1095032561313621300_58874.583_101998242_21_diff|58874.5838195105
10AYSEatp||3155.93528|30.920407961296075|0.119644|20.4288|SN|POSSIBLE|1237661381695505239|r|SDSS DR12 PhotoObjAll Table|2020-01-26|||138.58121451457484|1091419481305513400|1091419481305513400_58874.582_101997992_159_target|1091419481305513400_58874.582_101997992_159_ref|1091419481305513400_58874.582_101997992_159_diff|58874.5820925003
10AYSEatk|||35.75203122151261|0.103419|20.7078|ORPHAN|POSSIBLE||r||2020-01-26|||146.96009799659748|1094750411354507300|1094750411354507300_58874.584_101998319_178_target|1094750411354507300_58874.584_101998319_178_ref|1094750411354507300_58874.584_101998319_178_diff|58874.5842469764
10AYSEatt|||35.080721927475636|0.188867|20.8527|ORPHAN|POSSIBLE||r||2020-01-26|||142.71071180436985|1093050571350450500|1093050571350450500_58874.583_101998189_270_target|1093050571350450500_58874.583_101998189_270_ref|1093050571350450500_58874.583_101998189_270_diff|58874.583390146
10AYSEatf|||34.70112853274405|0.107304|20.2923|ORPHAN|POSSIBLE||r||2020-01-26|||141.4987551198814|1092559691344204100|1092559691344204100_58874.582_101998082_95_target|1092559691344204100_58874.582_101998082_95_ref|1092559691344204100_58874.582_101998082_95_diff|58874.5825270777
10AYSEatc|||35.79600535306587|0.116008|20.7823|ORPHAN|POSSIBLE||r||2020-01-26|||143.8677142628359|1093528241354745700|1093528241354745700_58874.583_101998203_357_target|1093528241354745700_58874.583_101998203_357_ref|1093528241354745700_58874.583_101998203_357_diff|58874.583390146
10AYSEatr||3396.33218|35.711732048111045|0.0811882|20.3419|SN|POSSIBLE|1237660763232731618|r|SDSS DR12 PhotoObjAll Table|2020-01-26|||143.83456605990983|1093520291354242200|1093520291354242200_58874.583_101998203_240_target|1093520291354242200_58874.583_101998203_240_ref|1093520291354242200_58874.583_101998203_240_diff|58874.583390146
10AYSEatw|||35.09215637333506|0.118787|20.347|ORPHAN|POSSIBLE||r||2020-01-26|||145.807018690944|1094313691350531600|1094313691350531600_58874.584_101998308_196_target|1094313691350531600_58874.584_101998308_196_ref|1094313691350531600_58874.584_101998308_196_diff|58874.5842469764
10AYSEarr|PS20gm|1816.97119|14.200137500983695|0.0966364|20.4959|NT|GOOD|1237661069257081216/N71D005482|r|SDSS/GSC|2020-01-25|||170.57956030314608|1112219091141200300|1112219091141200300_58873.609_101951392_240_target|1112219091141200300_58873.609_101951392_240_ref|1112219091141200300_58873.609_101951392_240_diff|58873.6099423827
10AYSEasi|PS20ip|451.7766858|50.391617530554846|0.109624|19.9932|SN|GOOD|1237651191893852265/3132165/08|i|SDSS/GLADE/2MASS|2020-01-25|0.0982633||128.1940470905047|1083246571502329800|1083246571502329800_58873.400_101926772_161_target|1083246571502329800_58873.400_101926772_161_ref|1083246571502329800_58873.400_101926772_161_diff|58875.407037598
10AYSEaqy|PS20ii|687.02863|20.17667559400992|0.194067|20.0769|NT|GOOD|1237671692300452002/16085422+2|r|SDSS/2MASS/GLADE|2020-01-25|0.14496|2020awt|242.2259506166659|1160854221201035900|1160854221201035900_58873.637_101953555_147_target|1160854221201035900_58873.637_101953555_147_ref|1160854221201035900_58873.637_101953555_147_diff|58873.6379059651
10AYSEasg|PS20io|580.928749|50.4113982214409|0.151689|20.5524|SN|GOOD|1237654383050096719/2MASXJ0851|i|SDSS/NED/GLADE/2MASS|2020-01-25|0.124209|2020aww|132.97064600374313|1085152951502440900|1085152951502440900_58873.402_101926997_243_target|1085152951502440900_58873.402_101926997_243_ref|1085152951502440900_58873.402_101926997_243_diff|58875.408790507
10AYSEard|PS20ij|292.813319|9.983899138388335|0.0588108|19.7095|NT|GOOD|1237660614511165566/SDSSJ11252|r|SDSS/NED/GLADE|2020-01-25|0.065156|2020awu|171.3480294799567|1112523531095901900|1112523531095901900_58873.609_101951310_124_target|1112523531095901900_58873.609_101951310_124_ref|1112523531095901900_58873.609_101951310_124_diff|58873.6095074642
10AYSEarx|PS20im|1121.823632|31.832195311611457|0.182381|21.085|SN|GOOD|1237665227311415601|r|SDSS DR12 PhotoObjAll Table|2020-01-25||2020awv|201.15709625330715|1132437701314955800|1132437701314955800_58873.615_101951865_176_target|1132437701314955800_58873.615_101951865_176_ref|1132437701314955800_58873.615_101951865_176_diff|58873.6158178289
10AYSEase|PS20in||50.02872184279757|0.163288|20.5367|NT|GOOD|08501811+5001438/1237653613719|r|2MASS/SDSS|2020-01-25||2019aaap|132.57546975722548|1085018091500143300|1085018091500143300_58873.402_101926992_231_target|1085018091500143300_58873.402_101926992_231_ref|1085018091500143300_58873.402_101926992_231_diff|58873.4027086234
10AYSEarw|PS20il|1223.572504|14.073768623857719|0.179667|20.8454|NT|GOOD|1237664131022651569/N6E5004119|r|SDSS/GSC|2020-01-25||2019aaao|171.78313745443145|1112707941140425500|1112707941140425500_58873.609_101951389_183_target|1112707941140425500_58873.609_101951389_183_ref|1112707941140425500_58873.609_101951389_183_diff|58873.6099423826
10AYSEarv|PS20ik|1011.15517|10.448060971770447|0.0677808|19.8155|NT|GOOD|1237660615048626259/11303813+1|r|SDSS/2MASS|2020-01-25|0.205667|2019aaan|172.65894339943188|1113038151102653000|1113038151102653000_58873.610_101951437_93_target|1113038151102653000_58873.610_101951437_93_ref|1113038151102653000_58873.610_101951437_93_diff|58873.6104156156
10AYSEask||1635.84256|46.610570911022926|0.150302|21.1113|SN|POSSIBLE|1237654392180506985|r|SDSS DR12 PhotoObjAll Table|2020-01-25|||126.08258324145892|1082419811463638000|1082419811463638000_58873.400_101926681_433_target|1082419811463638000_58873.400_101926681_433_ref|1082419811463638000_58873.400_101926681_433_diff|58873.4005318546
10AYSEaqt|||17.227373610241543|0.262494|20.5794|ORPHAN|POSSIBLE||r||2020-01-25|||236.45674013251235|1154549631171338500|1154549631171338500_58873.635_101953205_189_target|1154549631171338500_58873.635_101953205_189_ref|1154549631171338500_58873.635_101953205_189_diff|58873.6357486156
10AYSEarc|||17.090067643801774|0.288957|21.1278|ORPHAN|POSSIBLE||r||2020-01-25|||236.35607557630703|1154525451170524300|1154525451170524300_58873.635_101953201_245_target|1154525451170524300_58873.635_101953201_245_ref|1154525451170524300_58873.635_101953201_245_diff|58873.6357486156
10AYSEaqx|||18.258636386828805|0.184107|20.4903|ORPHAN|POSSIBLE||r||2020-01-25|||240.53573038285052|1160208571181531000|1160208571181531000_58873.636_101953338_236_target|1160208571181531000_58873.636_101953338_236_ref|1160208571181531000_58873.636_101953338_236_diff|58873.6366072619
